# mdm(GeV)	 mAp(GeV)	 Number of Signal Events
1.4945e-01	1.5276e-03	0.0000e+00
1.5654e-01	1.5276e-03	0.0000e+00
1.6397e-01	1.5276e-03	0.0000e+00
1.7175e-01	1.5276e-03	0.0000e+00
1.7990e-01	1.5276e-03	0.0000e+00
1.8844e-01	1.5276e-03	0.0000e+00
1.9738e-01	1.5276e-03	0.0000e+00
2.0675e-01	1.5276e-03	0.0000e+00
2.1656e-01	1.5276e-03	0.0000e+00
2.2683e-01	1.5276e-03	0.0000e+00
2.3760e-01	1.5276e-03	0.0000e+00
2.4887e-01	1.5276e-03	0.0000e+00
2.6068e-01	1.5276e-03	0.0000e+00
2.7305e-01	1.5276e-03	0.0000e+00
